GENE	Par_RR_dS	Par_RR_Omega	Par_RR_dS_PP	Par_RR_Omega_PP	Sig
5298.38169240.importin_subunit_beta__putative__expressed	0.0464	0.217	0.54	0.63	*
5299.38169246.ALBINA_1	-0.546	-0.069	0.038	0.42	*
530.38085089.aldehyde_dehydrogenase_12A1	-0.0489	-0.337	0.45	0.2	*
5300.38169248.ALBINA_1	0.133	0.216	0.62	0.7	*
5303.38169366.expressed_protein	-0.364	0.207	0.23	0.64	*
5311.38169559.	0.267	-0.101	0.7	0.43	*
5313.38169578.hydroxyethylthiazole_kinase_family_protein	-0.645	-0.813	0.088	0.034	*
5317.38169616.expressed_protein	-0.233	0.00139	0.3	0.51	*
5318.38169625.endoplasmic_reticulum_type_calcium_transporting_ATPase_3	0.0577	0.337	0.55	0.81	*
5319.38169636.expressed_protein	-0.232	-0.029	0.3	0.48	*
532.38085099.histone_like_transcription_factor_and_archaeal_histone__putative__expressed	-0.828	-0.67	0.013	0.042	*
5321.38169672.like_SEX4_1	-0.0619	-0.535	0.42	0.074	*
5327.38169730.expressed_protein	0.201	0.0817	0.62	0.56	*
5329.38169768.binding	-0.24	-0.65	0.25	0.011	*
533.38085114.histone_like_transcription_factor_and_archaeal_histone__putative__expressed	0.0878	0.131	0.56	0.58	*
5330.38169770.metallo_beta_lactamase__putative__expressed	-0.484	0.435	0.064	0.88	*
5332.38169801.	0.246	-0.308	0.69	0.27	*
5334.38169868.Vacuolar_ATPase_assembly_integral_membrane_protein_VMA21_like_domain	-0.119	-0.391	0.42	0.25	*
5338.38170077.metal_ion_binding_protein__putative__expressed	-0.301	-0.0679	0.23	0.44	*
535.38085147.flap_endonuclease__putative__expressed	-0.193	-0.162	0.27	0.34	*
5354.38170235.cytochrome_P450_71D10__putative__expressed	0.232	-0.71	0.67	0.036	*
5355.38170285.expressed_protein	-0.47	-0.104	0.041	0.39	*
5357.38170321.Haloacid_dehalogenase_like_hydrolase__HAD__superfamily_protein	-0.667	-0.0841	0.03	0.39	*
5359.38170372.expressed_protein	0.181	-0.0156	0.66	0.5	*
536.38085327.	0.305	0.269	0.83	0.81	*
5362.38170414.expressed_protein	-0.501	-0.675	0.17	0.099	*
5363.38170433.beta_glucosidase_27	0.217	0.054	0.74	0.54	*
5367.38170525.Ras_family_domain_containing_protein__expressed	0.109	0.058	0.57	0.55	*
5370.38170561.embryo_defective_1379	-0.289	-0.323	0.24	0.24	*
5372.38170613.Quinone_reductase_family_protein	0.485	0.105	0.93	0.63	*
5374.38170628.	-0.245	0.0691	0.23	0.56	*
5378.38170666.Protein_kinase_superfamily_protein	-0.358	-0.615	0.14	0.065	*
5380.38170706.Zinc_binding_dehydrogenase_family_protein	0.0623	0.542	0.55	0.79	*
5387.38170887.	-0.45	-0.416	0.091	0.12	*
5391.38170932.expressed_protein	-0.478	0.821	0.11	0.99	*
5396.38171022.ribosomal_protein_L13__putative__expressed	-0.00427	0.0613	0.49	0.54	*
5398.38171040.RNA_directed_DNA_polymerase__reverse_transcriptase_	-0.0916	-0.0301	0.43	0.47	*
5399.38171086.acyltransferase__putative__expressed	-0.3	0.235	0.21	0.71	*
5400.38171117.urease_accessory_protein_D	-0.382	0.213	0.18	0.65	*
5401.38171129.Pseudouridine_synthase_family_protein	-0.585	-0.481	0.04	0.051	*
5402.38171174.Pseudouridine_synthase_family_protein	0.103	-0.45	0.58	0.19	*
5403.38171175.	0.239	-0.741	0.66	0.079	*
5407.38171224.chloroplast_30S_ribosomal_protein_S11__putative__expressed	-0.202	0.0182	0.34	0.51	*
5417.38171381.SAM_domain_family_protein__expressed	-0.86	0.718	0	1	*
542.38085327.	0.305	0.25	0.83	0.79	*
5425.38171499.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.25	0.218	0.27	0.75	*
5426.38171549.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.25	0.167	0.26	0.65	*
5433.38171763.uncharacterized_protein_yqxC__putative__expressed	-0.207	-0.64	0.32	0.12	*
5434.38171782.	-nan	-nan	0.76	0.26	*
5435.38171792.expressed_protein	-0.291	-0.418	0.26	0.24	*
5437.38171841.nucleoside_triphosphatase__putative__expressed	-0.438	0.0901	0.11	0.6	*
5438.38171863.nucleoside_triphosphatase__putative__expressed	0.0083	0.215	0.54	0.66	*
5442.38171958.GPI_transamidase_subunit_PIG_U_domain_containing_protein__expressed	-0.34	-0.523	0.15	0.046	*
5444.38171980.OsMADS92___MADS_box_family_gene_with_M_beta_type_box__expressed	0.0925	0.593	0.56	0.82	*
5451.38172097.PPR_repeat_domain_containing_protein__putative__expressed	-0.264	-0.507	0.2	0.055	*
5452.38172116.PPR_repeat_domain_containing_protein__putative__expressed	0.273	-0.354	0.77	0.19	*
5456.38172210.expressed_protein	0.0831	0.0827	0.57	0.56	*
5459.38172284.tetratricopeptide_like_helical__putative__expressed	0.209	0.538	0.66	0.83	*
546.38085439.sialyltransferase_family_domain_containing_protein__expressed	-0.629	-0.621	0.061	0.061	*
5471.38172463.RNA_recognition_motif_and_CCHC_type_zinc_finger_domains_containing_protein	-0.239	0.688	0.24	0.99	*
5472.38172470.expressed_protein	-0.177	-0.173	0.34	0.39	*
5473.38172473.expressed_protein	0.337	-0.0841	0.82	0.41	*
5475.38172476.N_acetylglucosaminyl_phosphatidylinositol_de_N_acetylase__putative__expressed	-0.581	-0.671	0.047	0.0042	*
5479.38172666.Major_facilitator_superfamily_protein	0.0325	-0.228	0.51	0.35	*
5486.38172726.Late_embryogenesis_abundant__LEA__hydroxyproline_rich_glycoprotein_family	0.758	-0.466	0.99	0.16	*
5487.38172732.cofactor_of_nitrate_reductase_and_xanthine_dehydrogenase_3	-0.0512	0.262	0.47	0.66	*
5488.38172733.ribosomal_protein_rpS20__putative__expressed	-0.412	0.195	0.21	0.63	*
5489.38172771.expressed_protein	-0.164	-0.000706	0.37	0.5	*
5490.38172789.nitrilase_like_protein_1	-0.623	0.0109	0.036	0.52	*
5491.38172817.holliday_junction_resolvase__putative__expressed	0.49	-0.173	0.9	0.38	*
5496.38172944.expressed_protein	-0.184	0.323	0.34	0.78	*
55.38076407.CBL_interacting_protein_kinase_8	0.146	-0.409	0.64	0.11	*
5501.38173096.phospholipase__patatin_family__putative__expressed	0.105	-0.0996	0.58	0.44	*
5504.38173154.cyclin_related	-0.436	-0.046	0.14	0.45	*
5505.38173178.cyclin_related	-0.122	-0.0486	0.39	0.46	*
5506.38173188.DTW_domain_containing_protein__putative__expressed	0.0969	0.113	0.57	0.58	*
5513.38173276.	0.0333	-0.678	0.52	0.062	*
5515.38173287.WD_domain__G_beta_repeat_domain_containing_protein__expressed	0.0543	-0.058	0.54	0.43	*
5518.38173321.peptidyl_prolyl_cis_trans_isomerase__putative__expressed	-0.161	-0.024	0.38	0.47	*
5519.38173327.peptidyl_prolyl_cis_trans_isomerase__putative__expressed	-0.314	-0.744	0.28	0.029	*
552.38085439.sialyltransferase_family_domain_containing_protein__expressed	-0.675	-0.583	0.037	0.069	*
5521.38173357.SAC_domain_containing_protein_8	0.473	-0.731	0.93	0.013	*
5526.38173485.expressed_protein	-0.656	-0.0835	0.063	0.42	*
5527.38173488.lysM_domain_containing_GPI_anchored_protein_precursor__putative__expressed	0.107	0.778	0.58	0.99	*
5528.38173489.expressed_protein	-0.492	0.203	0.18	0.65	*
5536.38173575.gamma_response_gene_1	-0.196	-0.254	0.32	0.29	*
5542.38173712.expressed_protein	-0.184	-0.824	0.37	0.037	*
5543.38173726.	-0.17	-0.152	0.35	0.4	*
5550.38173864.proline_rich_cell_wall_protein_like__putative__expressed	-0.108	-0.343	0.4	0.2	*
5554.38173942.phosphoserine_phosphatase__chloroplast_precursor__putative__expressed	-0.0319	0.0493	0.46	0.56	*
556.38085610.expressed_protein	-0.265	-0.228	0.31	0.34	*
5560.38174042.Mnd1_family_protein	0.324	-0.809	0.77	0.0035	*
5566.38174156.phytochrome_A__putative__expressed	0.233	0.258	0.7	0.66	*
557.38085617.expressed_protein	-0.262	-0.0898	0.29	0.45	*
5570.38174211.tobamovirus_multiplication_protein__putative__expressed	-0.256	-0.114	0.27	0.41	*
5571.38174248.expressed_protein	-0.257	-0.0236	0.32	0.48	*
5576.38174337.HSF_type_DNA_binding_domain_containing_protein__expressed	-0.0161	-0.387	0.49	0.26	*
5578.38174351.novel_plant_snare_11	-0.343	0.11	0.14	0.57	*
5579.38174388.novel_plant_snare_11	0.24	-0.8	0.67	0.02	*
5584.38174539.expressed_protein	-0.242	-0.715	0.32	0.093	*
5586.38174546.lrgB_like_family_protein__expressed	-0.0307	-0.0329	0.47	0.46	*
5588.38174579.	-0.522	-0.116	0.13	0.41	*
5597.38174743.rubredoxin_family_protein__putative__expressed	-0.358	0.215	0.24	0.64	*
5598.38174761.expressed_protein	0.04	-0.433	0.53	0.16	*
5599.38174796.transporter_family_protein__putative__expressed	-0.165	0.0377	0.35	0.55	*
56.38076407.CBL_interacting_protein_kinase_8	0.171	-0.44	0.67	0.096	*
56.38076447.	0.36	-0.217	0.81	0.28	*
5600.38174840.transporter_family_protein__putative__expressed	0.0425	0.556	0.53	0.85	*
5601.38174843.VIP4__putative__expressed	-0.63	0.0562	0.027	0.58	*
5602.38174852.VIP4__putative__expressed	-0.0693	0.11	0.45	0.58	*
5605.38174895.hypothetical_protein	-0.404	-0.663	0.23	0.13	*
5608.38174932.RNase_L_inhibitor_protein_related__putative__expressed	-0.0333	-0.553	0.46	0.098	*
5618.38175147.CLAVATA3	0.258	-0.0922	0.71	0.44	*
562.38085610.expressed_protein	-0.34	-0.171	0.26	0.38	*
5621.38175194.DNA_binding_protein__putative__expressed	-0.394	0.23	0.16	0.68	*
5623.38175219.tonneau_1b__TON1b_	0.225	0.408	0.67	0.74	*
563.38085617.expressed_protein	-0.27	-0.0676	0.29	0.48	*
5630.38175329.GroES_like_zinc_binding_dehydrogenase_family_protein	-0.68	0.0662	0.0078	0.6	*
5634.38175372.RING_zinc_finger_protein_like__putative__expressed	0.0738	-0.219	0.57	0.35	*
5635.38175398.Tetratricopeptide_repeat__TPR__like_superfamily_protein	0.022	-0.01	0.53	0.49	*
564.38085764.expressed_protein	-0.273	0.0424	0.28	0.54	*
5641.38175496.expressed_protein	-0.0271	-0.291	0.48	0.24	*
5645.38175580.RNA_polymerase_III_RPC4	-0.0717	0.623	0.45	0.86	*
5647.38175627.	-0.0225	0.323	0.46	0.72	*
5652.38175701.Adenine_nucleotide_alpha_hydrolases_like_superfamily_protein	0.181	-0.228	0.74	0.25	*
5658.38175747.prefoldin_2	0.127	0.0103	0.65	0.5	*
5660.38175772.phenylalanyl_tRNA_synthetase__putative__expressed	-0.118	0.0925	0.37	0.59	*
5668.38175889.cytidine_and_deoxycytidylate_deaminase_zinc_binding_region_family_protein__expressed	-0.144	-0.749	0.37	0.055	*
5670.38175943.homeobox_domain_containing_protein__expressed	-0.0197	-0.136	0.47	0.34	*
5673.38176035.	-0.241	0.627	0.33	0.88	*
5687.38176216.endonuclease_V__putative__expressed	0.23	0.0942	0.7	0.56	*
569.38085809.O_methyltransferase__putative__expressed	-0.0657	0.31	0.43	0.78	*
5691.38176288.	0.16	-0.0693	0.63	0.46	*
5696.38176418.expressed_protein	0.503	-0.555	0.9	0.071	*
5697.38176429.	-0.254	0.0521	0.29	0.54	*
5699.38176438.expressed_protein	-0.111	-0.742	0.43	0.079	*
57.38076447.	0.368	-0.197	0.82	0.29	*
57.38076467.	0.232	-0.12	0.68	0.42	*
570.38085764.expressed_protein	-0.3	0.051	0.26	0.54	*
570.38085833.peptidases	-0.0963	-0.0407	0.39	0.48	*
5705.38176514.uracil_phosphoribosyltransferase	-0.215	0.225	0.29	0.7	*
5706.38176517.expressed_protein	-0.282	-0.739	0.29	0.079	*
5707.38176520.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.593	-0.769	0.11	0.036	*
5709.38176581.expressed_protein	0.0962	-0.099	0.58	0.42	*
5711.38176595.expressed_protein	-0.835	0.155	0.0034	0.69	*
5714.38176607.agmatine_deiminase__putative__expressed	-0.591	-0.35	0.07	0.21	*
5715.38176611.fringe_related_protein__putative__expressed	-0.0058	-0.22	0.52	0.33	*
5721.38176763.expressed_protein	-0.121	0.211	0.37	0.68	*
5723.38176798.Phosphatidic_acid_phosphatase__PAP2__family_protein	-0.217	-0.649	0.28	0.031	*
5726.38176847.heptahelical_transmembrane_protein1	-0.262	0.247	0.3	0.67	*
5737.38177042.tubulin_beta_chain_4	-0.451	0.814	0.16	0.96	*
574.38085871.photosystem_I_iron_sulfur_center__putative__expressed	0.486	-0.346	0.83	0.23	*
5740.38177075.aberrant_lateral_root_formation_4	-0.073	-0.0591	0.42	0.46	*
5743.38177100.DNAJ_heat_shock_N_terminal_domain_containing_protein	0.455	-0.414	0.79	0.23	*
5748.38177208.integral_membrane_protein__putative__expressed	-0.457	-0.237	0.087	0.22	*
575.38085809.O_methyltransferase__putative__expressed	-0.125	0.181	0.37	0.67	*
575.38085876.Plant_calmodulin_binding_protein_related	-0.597	-0.646	0.12	0.099	*
5751.38177272.expressed_protein	-0.157	-0.0863	0.3	0.4	*
5754.38177325.	0.281	0.346	0.72	0.71	*
5755.38177348.UbiA_prenyltransferase_family_protein	-0.0694	-0.177	0.39	0.38	*
5756.38177350.UbiA_prenyltransferase_family_protein	-0.0241	0.0469	0.48	0.54	*
5758.38177367.trpH__putative__expressed	0.189	-0.635	0.67	0.06	*
5759.38177374.atuA__putative__expressed	-0.108	-0.339	0.37	0.22	*
576.38085833.peptidases	-0.104	-0.057	0.39	0.46	*
576.38085879.Plant_calmodulin_binding_protein_related	0.408	0.479	0.81	0.84	*
5764.38177533.expressed_protein	-0.38	0.162	0.21	0.61	*
5766.38177548.Mitochondrial_ribosomal_protein_L37	0.000911	-0.0831	0.51	0.45	*
5767.38177573.	0.0407	-0.182	0.53	0.39	*
5773.38177670.CCCH_type_zinc_fingerfamily_protein_with_RNA_binding_domain	0.0983	-0.137	0.52	0.47	*
5774.38177688.SAC_domain_containing_protein__putative__expressed	0.341	0.808	0.75	0.96	*
5778.38177738.DNA_polymerase_lambda__POLL_	-0.192	-0.206	0.31	0.3	*
5780.38177745.expressed_protein	-0.142	-0.775	0.39	0.023	*
5781.38177747.expressed_protein	-nan	-nan	0.28	0.69	*
5784.38177782.RNA_helicase_36	0.278	-0.153	0.67	0.38	*
5785.38177823.Ubiquitin_like_superfamily_protein	-0.367	0.00691	0.15	0.51	*
5787.38177842.frataxin_homolog	0.267	-0.293	0.73	0.26	*
5788.38177886.RNA_helicase_family_protein	-0.349	-0.224	0.13	0.28	*
579.38085916.DNA_binding_protein_phosphatase_1	-0.131	0.578	0.38	0.92	*
5790.38177897.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	-0.101	-0.0487	0.42	0.45	*
5795.38177967.expressed_protein	0.513	-0.299	0.93	0.17	*
5799.38178013.DNA_binding_sequence_specific_DNA_binding_transcription_factors	0.322	-0.662	0.71	0.1	*
58.38076467.	0.223	-0.133	0.68	0.41	*
580.38085871.photosystem_I_iron_sulfur_center__putative__expressed	0.506	-0.351	0.85	0.22	*
5803.38178132.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	0.502	-0.47	0.91	0.13	*
5804.38178135.	0.237	0.0694	0.68	0.54	*
5808.38178261.	-0.784	-0.0553	0.043	0.46	*
581.38085876.Plant_calmodulin_binding_protein_related	-0.622	-0.712	0.084	0.053	*
581.38085963.expressed_protein	0.102	0.116	0.58	0.59	*
5811.38178299.myosin_heavy_chain_related	-0.395	-0.819	0.24	0.038	*
5818.38178418.SWIM_zinc_finger_family_protein__putative__expressed	-0.089	0.271	0.45	0.7	*
582.38085879.Plant_calmodulin_binding_protein_related	0.269	0.359	0.72	0.77	*
582.38086018.imidazole_glycerol_phosphate_synthase_hisHF__chloroplast_precursor__putative__expressed	0.311	-0.671	0.8	0.021	*
5820.38178422.expressed_protein	-0.427	-0.234	0.14	0.26	*
5827.38178629.NAP_domain_containing_protein__putative__expressed	-0.365	0.121	0.26	0.57	*
5829.38178656.DSS1_homolog_on_chromosome_V	-nan	-nan	0.5	0.56	*
583.38086085.expressed_protein	0.523	-0.181	0.87	0.38	*
5837.38178878.	0.265	-0.11	0.73	0.45	*
5839.38178906.expressed_protein	-0.131	-0.232	0.35	0.3	*
584.38086089.toprim_domain_containing_protein	-0.582	-0.622	0.032	0.036	*
5841.38178939.cytochrome_P450_71A9__putative__expressed	-0.447	-0.141	0.13	0.32	*
5843.38178969.Family_of_unknown_function__DUF572__	-0.465	0.222	0.22	0.64	*
5844.38178974.OsWAK50___OsWAK_receptor_like_protein_kinase__expressed	0.359	-0.5	0.78	0.14	*
5847.38179013.Pectin_lyase_like_superfamily_protein	-0.00393	0.269	0.49	0.75	*
585.38085916.DNA_binding_protein_phosphatase_1	-0.139	0.589	0.38	0.92	*
5851.38179136.expressed_protein	-0.278	-0.138	0.29	0.42	*
5852.38179142.expressed_protein	0.0277	-0.24	0.52	0.34	*
5855.38179189.Protein_kinase_superfamily_protein	-0.477	-0.0463	0.17	0.45	*
5856.38179191.semialdehyde_dehydrogenase__NAD_binding_domain_containing_protein__putative__expressed	-0.277	0.445	0.2	0.91	*
5857.38179206.exosome_complex_exonuclease_rrp4__putative__expressed	-0.245	-0.309	0.23	0.15	*
5860.38179218.60S_ribosomal_protein_L7__putative__expressed	-0.297	0.858	0.31	0.99	*
5862.38179297.expressed_protein	0.0765	-0.308	0.55	0.29	*
5863.38179308.expressed_protein	0.128	-0.157	0.59	0.42	*
5865.38179331.Adenylate_kinase_family_protein	0.408	0.378	0.82	0.79	*
5867.38179404.dehydrogenase__putative__expressed	0.337	0.601	0.77	0.96	*
587.38085963.expressed_protein	0.135	0.0971	0.62	0.58	*
5870.38179438.	-0.508	-0.0553	0.076	0.43	*
5874.38179504.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.158	-0.204	0.36	0.3	*
5876.38179520.16S_rRNA_processing_protein_RimM_family	-0.229	-0.251	0.29	0.33	*
588.38086018.imidazole_glycerol_phosphate_synthase_hisHF__chloroplast_precursor__putative__expressed	0.326	-0.674	0.82	0.024	*
5883.38179627.	0.181	-0.694	0.62	0.074	*
5885.38179658.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.418	0.0506	0.14	0.54	*
5886.38179660.WD_domain__G_beta_repeat_domain_containing_protein__expressed	0.313	0.8	0.69	0.94	*
5889.38179767.	0.119	0.395	0.61	0.71	*
5895.38179878.HIT_type_Zinc_finger_family_protein	-0.159	0.0346	0.34	0.52	*
5896.38179886.exportin_1A	-0.09	0.452	0.39	0.94	*
590.38086085.expressed_protein	0.513	-0.235	0.86	0.33	*
5901.38179939.strictosidine_synthase__putative__expressed	0.184	-0.102	0.67	0.43	*
5905.38179988.	-0.324	-0.0761	0.27	0.45	*
5908.38180018.embryo_defective_2410	-0.497	-0.691	0.12	0.0024	*
591.38086089.toprim_domain_containing_protein	-0.592	-0.64	0.032	0.032	*
5913.38180086.	-0.219	0.099	0.32	0.58	*
5919.38180223.expressed_protein	-0.133	-0.00384	0.38	0.5	*
5922.38180264.IQ_domain_9	0.451	-0.691	0.82	0.05	*
593.38086371.pleckstrin_homology_domain_containing_protein_related_taxo__putative__expressed	-0.156	-0.142	0.37	0.41	*
5934.38180429.receptor_kinase__putative__expressed	-0.152	-0.12	0.38	0.42	*
5936.38180439.Protein_kinase_superfamily_protein	-0.389	-0.213	0.1	0.29	*
5939.38180486.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	0.114	0.344	0.62	0.76	*
5943.38180601.expressed_protein	-0.383	-0.118	0.085	0.36	*
5950.38180812.expressed_protein	-0.0867	-0.756	0.44	0.032	*
5957.38180931.methyltransferases	-0.242	-0.284	0.32	0.32	*
5959.38180947.26S_proteasome_regulatory_subunit__putative	-nan	-nan	0.27	0.33	*
5967.38181106.expressed_protein	-0.069	-0.0357	0.44	0.46	*
5968.38181116.mitochondrial_import_inner_membrane_translocase_subunit_Tim17__putative__expressed	0.399	0.149	0.79	0.59	*
5970.38181139.cytomatrix_protein_related	-0.35	-0.0936	0.25	0.44	*
598.38086407.pentatricopeptide__putative__expressed	0.201	-0.196	0.66	0.35	*
5983.38181481.peptide_deformylase__putative__expressed	-0.73	0.621	0.039	0.93	*
5988.38181584.light_mediated_development_protein_DET1__putative__expressed	0.126	-0.618	0.62	0.028	*
5990.38181615.NAD_P__binding_Rossmann_fold_superfamily_protein	-0.152	-0.0751	0.35	0.43	*
5992.38181637.dsRNA_binding_domain_like_superfamily_protein	0.114	-0.445	0.61	0.19	*
5994.38181659.Pseudouridine_synthase_family_protein	-0.14	-0.161	0.35	0.38	*
5999.38181813.receptor_kinase_LRK10__putative__expressed	0.326	-0.441	0.73	0.23	*
60.38076518.	0.141	-0.365	0.64	0.18	*
6002.38181869.OsFBX403___F_box_domain_containing_protein__expressed	0.183	-0.0587	0.66	0.46	*
6004.38181924.auxin_induced_protein_5NG4__putative__expressed	-0.271	-0.148	0.32	0.41	*
601.38086371.pleckstrin_homology_domain_containing_protein_related_taxo__putative__expressed	-0.139	-0.105	0.37	0.43	*
601.38086428.hcr2_0B__putative__expressed	-0.086	0.115	0.43	0.57	*
6014.38182170.Nucleic_acid_binding__OB_fold_like_protein	-0.457	0.437	0.14	0.85	*
6016.38182202.expressed_protein	-0.133	-0.125	0.39	0.43	*
6017.38182222.expressed_protein	-0.638	-0.127	0.033	0.36	*
6023.38182277.monooxygenase__putative__expressed	-0.212	-0.291	0.34	0.28	*
6029.38182409.	-0.506	0.377	0.06	0.86	*
6033.38182422.embryo_defective_2739	-0.313	-0.812	0.2	0.0016	*
6036.38182473.C_terminal_domain_phosphatase_like_3	0.437	-0.0897	0.82	0.44	*
6038.38182548.uridine_ribohydrolase_1	-0.169	-0.746	0.37	0.02	*
6039.38182562.uridine_ribohydrolase_1	-0.00253	0.38	0.5	0.73	*
604.38086460.pyridoxine_biosynthesis_2	-0.454	-0.189	0.1	0.32	*
6041.38182575.P_loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	0.149	-0.822	0.62	0.026	*
6042.38182594.expressed_protein	-0.434	-0.251	0.18	0.32	*
6049.38182660.beta_carbonic_anhydrase_3	0.436	-0.155	0.86	0.38	*
6052.38182706.photosystem_II_BY	0.21	0.192	0.66	0.7	*
6055.38182760.sorting_nexin_1	0.391	-0.0895	0.78	0.44	*
606.38086407.pentatricopeptide__putative__expressed	0.0991	0.109	0.59	0.6	*
606.38086473.methionine_adenosyltransferase_regulatory_beta_subunit_related__putative__expressed	-0.14	0.00812	0.37	0.51	*
6065.38182908.ThiF_family_domain_containing_protein__putative__expressed	-0.356	-0.231	0.17	0.28	*
6066.38182919.ThiF_family_domain_containing_protein__putative__expressed	-0.122	0.0855	0.39	0.56	*
6072.38183039.expressed_protein	-0.0196	0.213	0.49	0.63	*
6076.38183082.Uncharacterised_protein_family__UPF0497_	-0.233	0.205	0.32	0.64	*
6081.38183184.PQ_loop_repeat_domain_containing_protein__expressed	-0.361	-0.224	0.13	0.24	*
6083.38183225.N_terminal_nucleophile_aminohydrolases__Ntn_hydrolases__superfamily_protein	0.126	-0.89	0.6	0.0078	*
6084.38183233.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.332	-0.408	0.16	0.17	*
6087.38183276.proline_iminopeptidase	0.189	-0.435	0.71	0.18	*
609.38086428.hcr2_0B__putative__expressed	-0.0641	0.195	0.45	0.61	*
609.38086506.XH_domain_containing_protein	0.141	0.247	0.64	0.67	*
